Wk,Day,Date,Time,Home,Home_xG,Score,Away_xG,Away,Attendance,Venue,Referee,Match Report,Notes,game_link,ids,Season,Home_Score,Away_Score
25.0,Mon,2023-10-02,20:00,Botafogo (RJ),0.9,1–1,0.5,Goiás,34294.0,Estádio Nilton Santos,Braulio da Silva Machado,Match Report,,/en/matches/644c6f1e/Botafogo-RJ-Goias-October-2-2023-Serie-A,644c6f1e,2023,1,1
26.0,Sat,2023-10-07,16:00,Goiás,2.7,4–6,2.0,Bahia,9001.0,Estádio de Hailé Pinheiro,Raphael Claus,Match Report,,/en/matches/ae187f18/Goias-Bahia-October-7-2023-Serie-A,ae187f18,2023,4,6
26.0,Sat,2023-10-07,18:30,Vasco da Gama,0.9,0–0,1.4,São Paulo,,Estádio Club de Regatas Vasco da Gama,Braulio da Silva Machado,Match Report,,/en/matches/bda09f03/Vasco-da-Gama-Sao-Paulo-October-7-2023-Serie-A,bda09f03,2023,0,0
26.0,Sun,2023-10-08,16:00,Fluminense,1.1,0–2,1.9,Botafogo (RJ),,Estadio Jornalista Mário Filho,Leandro Pedro Vuaden,Match Report,,/en/matches/05363eec/Fluminense-Botafogo-RJ-October-8-2023-Serie-A,05363eec,2023,0,2
26.0,Sun,2023-10-08,16:00,Palmeiras,2.1,1–2,1.4,Santos,,Allianz Parque,Flavio Rodrigues de Souza,Match Report,,/en/matches/15b167d0/Palmeiras-Santos-October-8-2023-Serie-A,15b167d0,2023,1,2
26.0,Sun,2023-10-08,16:00,Internacional,2.5,3–2,0.4,Grêmio,,Estádio José Pinheiro Borba,Paulo Zanovelli,Match Report,,/en/matches/8e24262b/Internacional-Gremio-October-8-2023-Serie-A,8e24262b,2023,3,2
26.0,Sun,2023-10-08,18:30,Ath Paranaense,1.7,1–1,0.6,Bragantino,,Estádio Joaquim Américo Guimarães,Yuri Elino Ferreira da Cruz,Match Report,,/en/matches/00fb185c/Athletico-Paranaense-Bragantino-October-8-2023-Serie-A,00fb185c,2023,1,1
26.0,Sun,2023-10-08,18:30,Fortaleza,2.2,3–2,1.4,América (MG),,Estádio Castelão,Bruno Arleu,Match Report,,/en/matches/78c71ff3/Fortaleza-America-MG-October-8-2023-Serie-A,78c71ff3,2023,3,2
26.0,Sun,2023-10-08,18:30,Atlético Mineiro,0.6,1–2,0.8,Coritiba,,Arena MRV,Marcelo de Lima Henrique,Match Report,,/en/matches/eff0b7bb/Atletico-Mineiro-Coritiba-October-8-2023-Serie-A,eff0b7bb,2023,1,2
26.0,Sat,2023-10-07,21:00,Corinthians,1.0,1–1,0.9,Flamengo,,Neo Química Arena,Anderson Daronco,Match Report,,/en/matches/22af4e3e/Corinthians-Flamengo-October-7-2023-Serie-A,22af4e3e,2023,1,1
